237 23.778 44.4 1.37e+04
238 23.878 43.3 1.22e+04
239 23.978 43.4 1.23e+04
240 24.078 46.2 1.31e+04
241 24.178 43.5 1.39e+04
242 24.278 42.8 1.25e+04
243 24.378 46 1.25e+04
244 24.478 45.1 1.33e+04
245 24.578 43.9 1.16e+04
246 24.678 48.4 1.18e+04
247 24.778 42.7 1.17e+04
248 24.878 40.6 1.26e+04
249 24.978 43.4 1.22e+04
250 25.078 48.6 1.27e+04
251 25.178 44.8 1.21e+04
252 25.278 43.5 1.16e+04
253 25.378 46.3 1.3e+04
254 25.478 41.9 1.3e+04
255 25.578 48.7 1.19e+04
256 25.678 41.3 1.31e+04
257 25.778 42.6 1.28e+04
258 25.878 44.9 1.12e+04
259 25.978 46.5 1.2e+04
260 26.078 46.7 1.01e+04
261 26.138 54.9 1.29e+04
262 26.278 47.4 1.27e+04
263 26.378 44.6 1.27e+04
264 26.478 49.5 1.15e+04
265 26.578 44.6 1.25e+04
266 26.678 48.4 1.21e+04
267 26.778 47.1 1.22e+04
268 26.878 47.9 1.14e+04
269 26.978 45.3 1.25e+04
270 27.078 44.8 1.24e+04
271 27.178 45.6 1.12e+04
272 27.278 45.7 1.26e+04
273 27.378 43.3 1.37e+04
274 27.478 46.9 1.14e+04
275 27.578 43.6 1.25e+04
276 27.678 45.9 1.31e+04
277 27.778 42.2 1.36e+04
278 27.878 43.9 1.34e+04
279 27.978 40 1.34e+04
280 28.078 30.8 1.4e+04
281 28.178 26.8 1.74e+04
282 28.278 25.2 1.96e+04
283 28.378 25 1.83e+04
284 28.478 23.5 2.17e+04
285 28.578 26.3 1.76e+04
286 28.678 26 1.99e+04
287 28.778 26.5 1.8e+04
288 28.878 25.1 1.88e+04
289 28.978 24.1 1.82e+04
290 29.078 25 1.73e+04
291 29.178 24.4 1.84e+04
292 29.278 25 1.74e+04
293 29.378 27.2 1.74e+04
294 29.478 25.5 1.75e+04
295 29.577 25.7 1.7e+04
296 29.677 24.9 1.85e+04
297 29.777 25.3 1.76e+04
298 29.877 23.8 1.83e+04
299 29.977 23.8 1.63e+04
300 30.077 24.7 1.92e+04
301 30.177 23.5 1.7e+04
302 30.277 26.2 1.74e+04
303 30.377 26.8 1.78e+04
304 30.477 26.8 1.97e+04
305 30.578 24.6 1.81e+04
306 30.678 26.1 1.77e+04
307 30.778 25.2 1.67e+04
308 30.878 24.4 1.66e+04
309 30.978 24.3 1.85e+04
310 31.078 24.9 1.72e+04
311 31.178 26.3 1.83e+04
312 31.278 25 1.93e+04
313 31.378 25 1.88e+04
314 31.478 27.2 1.61e+04
315 31.578 28 1.64e+04
316 31.678 29.8 1.76e+04
317 31.778 29.1 1.61e+04
318 31.878 28.9 1.61e+04
319 31.978 32.6 1.64e+04
320 32.078 32 1.55e+04
321 32.178 33.4 1.54e+04
322 32.278 29.5 1.62e+04
323 32.378 33.4 1.62e+04
324 32.478 31.3 1.61e+04
325 32.578 32.7 1.7e+04
326 32.678 33.8 1.41e+04
327 32.778 28.6 1.57e+04
328 32.878 33 1.41e+04
329 32.978 35.1 1.51e+04
330 33.078 34.3 1.56e+04
331 33.178 35.4 1.62e+04
332 33.278 35.3 1.45e+04
333 33.378 35 1.43e+04
334 33.478 32.7 1.57e+04
335 33.578 32.2 1.56e+04
336 33.678 36.5 1.38e+04
337 33.778 34.2 1.64e+04
338 33.878 33.1 1.49e+04
339 33.978 33.1 1.63e+04
340 34.078 34.4 1.62e+04
341 34.178 32.7 1.48e+04
342 34.278 32.2 1.48e+04
343 34.378 30.3 1.45e+04
344 34.478 32.6 1.47e+04
345 34.578 34.2 1.49e+04
346 34.678 31.3 1.52e+04
347 34.778 33.8 1.53e+04
348 34.878 34.4 1.49e+04
349 34.978 36.9 1.45e+04
350 35.078 34.2 1.32e+04
351 35.178 35.4 1.6e+04
352 35.278 32.3 1.56e+04
353 35.378 34.2 1.55e+04
354 35.478 30.4 1.64e+04
355 35.578 32.2 1.73e+04
356 35.678 32 1.56e+04
357 35.778 31.9 1.53e+04
358 35.878 32 1.57e+04
359 35.978 27.5 1.42e+04
360 36.078 23.5 1.79e+04
361 36.178 23.6 1.87e+04
362 36.278 22.6 1.78e+04
363 36.378 21.9 1.98e+04
364 36.478 20.6 2.07e+04
365 36.578 21.1 2.22e+04
366 36.678 20.9 2.05e+04
367 36.778 19.2 2.11e+04
368 36.878 19.4 2.37e+04
369 36.978 19.6 2.07e+04
370 37.078 20.7 2.26e+04
371 37.178 21.5 2.02e+04
372 37.278 19.9 2.32e+04
373 37.378 19.9 2.19e+04
374 37.478 20.3 2.08e+04
375 37.578 18.5 2.2e+04
376 37.678 19.7 2.16e+04
377 37.778 19 2.25e+04
378 37.878 19.3 2.28e+04
379 37.978 20.3 1.96e+04
380 38.078 20.2 2.27e+04
381 38.178 21.5 2.21e+04
382 38.278 19.6 2.04e+04
383 38.378 19.3 2.23e+04
384 38.478 19.4 2.36e+04
385 38.578 19.5 2.38e+04
386 38.678 20.1 2.17e+04
387 38.778 21 2.03e+04
388 38.878 20.7 2.24e+04
389 38.978 19.3 2.37e+04
390 39.049 19.8 2.53e+04
391 39.178 20.8 2.49e+04
392 39.278 20 2.43e+04
393 39.378 19.2 2.04e+04
394 39.478 19.9 2.21e+04
395 39.578 20.4 1.98e+04
396 39.678 20.3 2.12e+04
397 39.778 20.5 2.2e+04
398 39.878 20.8 2.41e+04
399 39.978 18.8 2.32e+04
400 40.078 19.6 2.24e+04
401 40.178 19.8 2.14e+04
402 40.278 21.3 1.9e+04
403 40.378 24 2e+04
404 40.478 25.7 1.95e+04
405 40.578 26 1.81e+04
406 40.678 26.8 1.87e+04
407 40.778 25.6 1.95e+04
408 40.878 26.1 1.99e+04
409 40.978 24.3 1.91e+04
410 41.078 22.9 2.09e+04
411 41.100 25.9 1.83e+04
412 41.278 25.9 1.92e+04
413 41.378 28.2 1.54e+04
414 41.478 28.1 1.68e+04
415 41.578 29.1 1.67e+04
416 41.678 25 1.79e+04
417 41.777 25.8 1.73e+04
418 41.877 26.7 1.68e+04
419 41.977 27.2 1.61e+04
420 42.077 27.9 1.82e+04
421 42.177 27 1.9e+04
422 42.277 26.9 1.96e+04
423 42.377 25.7 2.11e+04
424 42.477 25.7 1.92e+04
425 42.577 25.3 1.83e+04
426 42.677 24.3 1.96e+04
427 42.777 24.3 1.77e+04
428 42.877 25 1.9e+04
429 42.977 25.5 1.84e+04
430 43.077 28.1 1.69e+04
431 43.177 28.5 1.63e+04
432 43.277 29.5 1.69e+04
433 43.377 29.8 1.7e+04
434 43.477 28.6 1.82e+04
435 43.577 26 1.97e+04
436 43.677 25.3 1.74e+04
437 43.777 23.2 1.85e+04
438 43.877 26.1 1.86e+04
439 43.977 24.2 1.65e+04
440 44.077 22.9 2.06e+04
441 44.177 20.1 2.24e+04
442 44.277 19.5 2.26e+04
443 44.377 18.7 2.17e+04
444 44.477 20.9 2.22e+04
445 44.577 20.6 2.22e+04
446 44.677 19.2 2.27e+04
447 44.777 16.4 2.4e+04
448 44.877 17.6 2.5e+04
449 44.977 17.5 2.49e+04
450 45.026 15.7 2.65e+04
451 45.178 15.1 2.67e+04
452 45.278 14.9 2.87e+04
453 45.378 14.8 2.75e+04
454 45.478 16 2.55e+04
455 45.578 16.8 2.31e+04
456 45.678 17.1 2.55e+04
457 45.778 16.7 2.45e+04
458 45.878 16.7 2.57e+04
459 45.978 16.2 2.66e+04
460 46.078 16.1 2.61e+04
461 46.178 15.8 2.61e+04
462 46.278 15.5 2.65e+04
463 46.378 16.4 2.51e+04
464 46.478 16.9 2.33e+04
465 46.578 18.2 2.3e+04
466 46.678 17.7 2.53e+04
467 46.778 16.3 2.59e+04
468 46.878 15.6 2.57e+04
469 46.978 15.7 2.66e+04
470 47.078 16.4 2.82e+04
471 47.178 16.9 2.47e+04
472 47.278 18.2 2.42e+04
473 47.378 17.8 2.48e+04
474 47.478 16.4 2.75e+04
475 47.578 15.8 2.41e+04
476 47.678 16.9 2.69e+04
477 47.778 16 2.68e+04
478 47.878 15.3 2.88e+04
479 47.978 15.3 2.67e+04
480 48.078 17.6 2.58e+04
481 48.178 17.7 2.77e+04
482 48.278 17.6 2.35e+04
483 48.378 16.8 2.48e+04
484 48.478 18.3 2.58e+04
485 48.578 20.4 2.28e+04
486 48.678 21.6 2.07e+04
487 48.778 20.8 1.97e+04
488 48.878 21.4 2.04e+04
489 48.978 23.2 2.08e+04
490 49.078 21.8 2.05e+04
491 49.178 21.2 1.99e+04
492 49.278 20.4 2.21e+04
493 49.378 20.4 1.94e+04
494 49.478 20 2.05e+04
495 49.578 20.1 2.13e+04
496 49.678 23.1 2.01e+04
497 49.778 24 1.77e+04
498 49.878 24.9 1.86e+04
499 49.978 23 2.02e+04
500 50.078 23.9 1.96e+04
501 50.178 22.4 1.81e+04
502 50.278 22.9 2.08e+04
503 50.378 21.8 2.12e+04
504 50.478 21.8 1.96e+04
505 50.578 23.6 1.98e+04
506 50.678 22.2 2.06e+04
507 50.778 21.8 1.89e+04
508 50.878 20.4 2.12e+04
509 50.978 21.7 2.03e+04
510 51.078 22.3 1.96e+04
511 51.178 21.7 1.95e+04
512 51.278 22.5 2.05e+04
513 51.378 23.9 1.98e+04
514 51.478 23.5 2e+04
515 51.578 26.6 1.86e+04
516 51.678 25.4 1.93e+04
517 51.778 24.5 1.72e+04
518 51.878 22.5 1.96e+04
519 51.978 20.7 1.95e+04
520 52.078 20.8 2.19e+04
521 52.178 18.3 2.11e+04
